name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,20-08-2022,12.2,5.6,8,12.2,2,6,4,76.2,0.041,100,8.33,rain,0,0,41.8,34.2,324.9,1020.2,78.9,10.6,133.4,11.6,8,10,2022-08-20T06:39:07,2022-08-20T17:35:23,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,F4257,94925099999,94927099999,F0067,95716099999,94926099999"
australia,21-08-2022,13.7,1,7.2,13.7,-1.6,5.6,1.8,70.2,0.002,100,4.17,rain,0,0,38.9,30.2,327.2,1025,49.3,10,159.7,13.8,7,10,2022-08-21T06:37:54,2022-08-21T17:36:07,0.8,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,22-08-2022,13.9,4.5,9.3,13.9,1.4,7.4,3.6,67.9,0.623,100,4.17,rain,0,0,55.1,36,327.8,1017.3,74.9,10,92.2,7.9,3,10,2022-08-22T06:36:39,2022-08-22T17:36:52,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,23-08-2022,9.9,-2.7,5.7,6.9,-6,2.5,2.2,78.4,2.314,100,12.5,"rain,snow",0,0.3,58.7,34.7,261.3,1012.6,86.2,9.6,53.6,4.6,2,10,2022-08-23T06:35:24,2022-08-23T17:37:37,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,24-08-2022,12.8,-5,3.5,12.8,-5,2.3,-1,75.8,0,0,0,,0,0.2,34.6,26.7,311.3,1021.1,16,10.6,170,14.6,7,10,2022-08-24T06:34:08,2022-08-24T17:38:21,0.89,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,25-08-2022,13.9,4.7,8.7,13.9,2,7.1,3.3,71.1,0.033,100,12.5,rain,0,0,20.5,19.1,9.6,1022.9,86.1,10,104.1,8.9,6,10,2022-08-25T06:32:52,2022-08-25T17:39:06,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,F4257,94925099999,94927099999,F0067,95716099999,94926099999"
australia,26-08-2022,15,-0.4,7.4,15,-2,6.7,3,76.9,0.006,100,4.17,"rain,snow",0,0,30.2,16,50.8,1027.8,40.4,10,191.1,16.5,8,10,2022-08-26T06:31:34,2022-08-26T17:39:50,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,27-08-2022,14.9,-1,7.6,14.9,-3.2,7.1,4.1,81.1,0.167,100,8.33,rain,0,0,33.1,23.1,85.9,1029.2,78.8,9.1,122.5,10.7,5,10,2022-08-27T06:30:16,2022-08-27T17:40:35,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,28-08-2022,17.6,6.8,11,17.6,5.4,10.6,6.6,76.8,0.009,100,8.33,rain,0,0,24.8,17.9,37.9,1027.5,86,10,148.4,12.9,8,10,2022-08-28T06:28:57,2022-08-28T17:41:19,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,29-08-2022,12.9,2.8,8.4,12.9,1.6,8.1,7.6,95,9.014,100,8.33,rain,0,0,49.3,16.1,356.8,1023.1,94.7,8,50.7,4.3,2,10,2022-08-29T06:27:38,2022-08-29T17:42:03,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
